light_volt,loop_time
2.3310000896453857,109.0
2.328000068664551,109.0
2.322000026702881,109.0
2.309999942779541,109.0
2.3010001182556152,109.0
2.2950000762939453,109.0
2.2920000553131104,109.0
2.2950000762939453,109.0
2.3010001182556152,109.0
2.306999921798706,109.0
2.315999984741211,109.0
2.325000047683716,109.0
2.3310000896453857,109.0
2.3340001106262207,109.0
2.3310000896453857,109.0
2.325000047683716,109.0
2.312999963760376,109.0
2.3010001182556152,109.0
2.2980000972747803,109.0
2.3010001182556152,110.0
2.306999921798706,109.0
2.196000099182129,109.0
1.2000000476837158,110.0
1.409999966621399,109.0
1.0920000076293945,109.0
1.9500000476837158,110.0
2.306999921798706,109.0
2.364000082015991,109.0
2.5290000438690186,109.0
2.5799999237060547,109.0
2.63700008392334,110.0
2.6610000133514404,109.0
2.6730000972747803,110.0
2.6730000972747803,109.0
2.6670000553131104,109.0
2.6640000343322754,109.0
2.6610000133514404,110.0
2.6640000343322754,109.0
2.6760001182556152,110.0
2.67900013923645,109.0
2.687999963760376,109.0
2.684999942779541,110.0
2.6760001182556152,109.0
2.6640000343322754,109.0
2.6489999294281006,110.0
2.6489999294281006,109.0
2.6700000762939453,110.0
1.7910000085830688,109.0
1.3380000591278076,109.0
2.6670000553131104,109.0
2.6700000762939453,109.0
2.6670000553131104,109.0
2.574000120162964,109.0
1.190999984741211,109.0
2.4149999618530273,109.0
2.63100004196167,109.0
2.634000062942505,109.0
2.6489999294281006,109.0
1.2569999694824219,110.0
1.2899999618530273,109.0
2.6640000343322754,110.0
2.6610000133514404,109.0
2.63700008392334,110.0
1.5959999561309814,109.0
1.0230000019073486,110.0
1.0410000085830688,109.0
2.6430001258850098,109.0
2.6549999713897705,109.0
2.6610000133514404,109.0
1.3200000524520874,110.0
1.0499999523162842,109.0
2.5920000076293945,110.0
2.628000020980835,109.0
2.640000104904175,110.0
1.1699999570846558,109.0
1.0889999866485596,109.0
2.6549999713897705,110.0
2.6640000343322754,109.0
2.4600000381469727,110.0
1.1399999856948853,109.0
2.6070001125335693,109.0
2.628000020980835,109.0
2.6100001335144043,110.0
2.549999952316284,109.0
2.5230000019073486,109.0
1.562999963760376,109.0
1.055999994277954,109.0
1.0499999523162842,110.0
1.2389999628067017,109.0
1.3350000381469727,109.0
1.3830000162124634,109.0
1.3949999809265137,109.0
1.430999994277954,109.0
2.26200008392334,109.0
2.309999942779541,109.0
2.319000005722046,109.0
2.328000068664551,109.0
2.3340001106262207,109.0
2.3340001106262207,109.0
2.3310000896453857,109.0
2.322000026702881,109.0
2.309999942779541,109.0
2.3010001182556152,109.0
2.2980000972747803,109.0
2.303999900817871,110.0
2.309999942779541,109.0
2.319000005722046,109.0
2.325000047683716,109.0
2.3310000896453857,109.0
2.3370001316070557,109.0
2.3340001106262207,109.0
2.328000068664551,109.0
2.315999984741211,109.0
2.306999921798706,109.0
2.3010001182556152,109.0
2.2980000972747803,109.0
2.306999921798706,110.0
2.312999963760376,109.0
2.322000026702881,109.0
2.3310000896453857,109.0
2.3370001316070557,109.0
2.3370001316070557,109.0
2.3310000896453857,109.0
2.322000026702881,109.0
2.309999942779541,109.0
2.3010001182556152,109.0
2.2980000972747803,109.0
2.306999921798706,110.0
2.312999963760376,109.0
2.319000005722046,109.0
2.328000068664551,109.0
2.3340001106262207,109.0
2.3370001316070557,109.0
2.3340001106262207,109.0
2.325000047683716,109.0
2.312999963760376,109.0
2.303999900817871,109.0
2.2980000972747803,110.0
2.303999900817871,109.0
2.322000026702881,110.0
2.328000068664551,109.0
2.3340001106262207,109.0
2.3370001316070557,109.0
2.3340001106262207,109.0
2.325000047683716,109.0
2.312999963760376,109.0
2.3010001182556152,109.0
2.2980000972747803,109.0
2.303999900817871,110.0
2.309999942779541,109.0
2.319000005722046,109.0
2.328000068664551,109.0
2.3340001106262207,109.0
2.3370001316070557,109.0
2.3340001106262207,109.0
2.328000068664551,109.0
2.315999984741211,109.0
2.303999900817871,109.0
2.3010001182556152,110.0
2.303999900817871,109.0
2.322000026702881,110.0
2.328000068664551,109.0
2.3340001106262207,109.0
2.3370001316070557,109.0
2.3340001106262207,109.0
2.325000047683716,109.0
2.312999963760376,109.0
2.303999900817871,109.0
2.3010001182556152,110.0
2.303999900817871,109.0
2.322000026702881,110.0
2.3310000896453857,109.0
2.3370001316070557,109.0
2.3370001316070557,109.0
2.3310000896453857,109.0
2.322000026702881,109.0
2.309999942779541,109.0
2.3010001182556152,109.0
2.2980000972747803,109.0
2.306999921798706,110.0
2.312999963760376,109.0
2.322000026702881,109.0
2.328000068664551,109.0
2.3340001106262207,109.0
2.3370001316070557,109.0
2.3340001106262207,109.0
2.325000047683716,109.0
2.312999963760376,109.0
2.303999900817871,109.0
2.3010001182556152,110.0
2.303999900817871,109.0
2.322000026702881,110.0
2.3310000896453857,109.0
2.3370001316070557,109.0
2.3399999141693115,109.0
2.315999984741211,110.0
2.306999921798706,109.0
2.3010001182556152,109.0
2.3010001182556152,109.0
2.303999900817871,109.0
2.322000026702881,110.0
2.328000068664551,109.0
2.3340001106262207,109.0
2.3399999141693115,109.0
2.325000047683716,110.0
2.312999963760376,109.0
2.303999900817871,109.0
2.303999900817871,110.0
2.306999921798706,109.0
2.315999984741211,109.0
2.322000026702881,109.0
2.3310000896453857,109.0
2.3370001316070557,109.0
2.3399999141693115,109.0
2.322000026702881,110.0
2.309999942779541,109.0
2.303999900817871,109.0
2.306999921798706,110.0
2.309999942779541,109.0
2.315999984741211,109.0
2.325000047683716,109.0
2.3310000896453857,109.0
2.3399999141693115,109.0
2.3310000896453857,110.0
2.319000005722046,109.0
2.309999942779541,109.0
2.303999900817871,109.0
2.306999921798706,110.0
2.312999963760376,109.0
2.322000026702881,109.0
2.328000068664551,109.0
2.3340001106262207,109.0
2.3399999141693115,109.0
2.328000068664551,110.0
2.315999984741211,109.0
2.306999921798706,109.0
2.303999900817871,109.0
2.309999942779541,110.0
2.315999984741211,109.0
2.322000026702881,109.0
2.3310000896453857,109.0
2.3370001316070557,109.0
2.3399999141693115,109.0
2.322000026702881,110.0
2.309999942779541,109.0
2.3010001182556152,109.0
2.2980000972747803,109.0
2.306999921798706,110.0
2.312999963760376,109.0
2.322000026702881,109.0
2.328000068664551,109.0
2.3340001106262207,109.0
2.3370001316070557,109.0
2.3340001106262207,109.0
2.322000026702881,109.0
2.312999963760376,109.0
2.303999900817871,109.0
2.3010001182556152,110.0
2.303999900817871,109.0
2.322000026702881,110.0
2.3310000896453857,109.0
2.3370001316070557,109.0
2.3370001316070557,109.0
2.3310000896453857,109.0
2.322000026702881,109.0
2.309999942779541,109.0
